n_samples,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
93,0.0,0.42724609375,-0.3662109375,-0.0263671875,-0.9267578125,0.47900390625
94,-0.06103515625,0.42724609375,-0.30517578125,-0.02880859375,-0.93017578125,0.478515625
95,-0.1220703125,0.54931640625,-0.42724609375,-0.02880859375,-0.9287109375,0.47998046875
96,-0.1220703125,0.48828125,-0.3662109375,-0.0283203125,-0.9287109375,0.47900390625
97,-0.18310546875,0.6103515625,-0.3662109375,-0.02734375,-0.9287109375,0.4794921875
98,-0.18310546875,0.6103515625,-0.3662109375,-0.02783203125,-0.9306640625,0.48095703125
99,-0.244140625,0.54931640625,-0.30517578125,-0.02783203125,-0.9296875,0.4775390625
100,-0.244140625,0.48828125,-0.30517578125,-0.0302734375,-0.93115234375,0.478515625
101,-0.3662109375,0.30517578125,-0.3662109375,-0.0302734375,-0.9326171875,0.47607421875
102,-0.244140625,0.3662109375,-0.48828125,-0.02783203125,-0.931640625,0.478515625
103,-0.18310546875,0.30517578125,-0.42724609375,-0.02978515625,-0.92822265625,0.48046875
104,-0.30517578125,0.30517578125,-0.3662109375,-0.02783203125,-0.9306640625,0.4765625
105,-0.30517578125,0.30517578125,-0.30517578125,-0.02783203125,-0.93212890625,0.4775390625
106,-0.244140625,0.30517578125,-0.42724609375,-0.02734375,-0.93115234375,0.4775390625
107,-0.1220703125,0.3662109375,-0.3662109375,-0.02880859375,-0.9287109375,0.478515625
108,0.0,0.3662109375,-0.30517578125,-0.02734375,-0.92919921875,0.47998046875
109,0.0,0.42724609375,-0.244140625,-0.02734375,-0.9306640625,0.48046875
110,0.0,0.3662109375,-0.3662109375,-0.029296875,-0.927734375,0.47900390625
111,0.06103515625,0.48828125,-0.3662109375,-0.02880859375,-0.927734375,0.4775390625
112,-0.06103515625,0.42724609375,-0.42724609375,-0.029296875,-0.9296875,0.47900390625
113,-0.06103515625,0.3662109375,-0.3662109375,-0.02978515625,-0.9296875,0.47705078125
114,0.0,0.30517578125,-0.3662109375,-0.029296875,-0.92822265625,0.47998046875
